id,name,mood
327,Cop Land (1997),"['Fearful', 'Disgusted', 'Neutral']"
328,Conspiracy Theory (1997),"['Fearful', 'Neutral', 'Surprised', 'Angry']"
329,Desperate Measures (1998),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
330,187 (1997),"['Fearful', 'Surprised', 'Neutral', 'Sad']"
331,"Edge, The (1997)","['Fearful', 'Angry', 'Surprised', 'Neutral']"
332,Kiss the Girls (1997),"['Angry', 'Disgusted', 'Fearful', 'Sad', 'Surprised']"
333,"Game, The (1997)","['Angry', 'Disgusted', 'Neutral', 'Surprised']"
334,U Turn (1997),"['Happy', 'Neutral', 'Sad', 'Surprised']"
335,How to Be a Player (1997),"['Happy', 'Neutral', 'Sad']"
336,Playing God (1997),"['Surprised', 'Fearful', 'Angry', 'Disgusted', 'Neutral']"
337,"House of Yes, The (1997)","['Happy', 'Neutral', 'Sad']"
338,Bean (1997),"['Angry', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
339,Mad City (1997),"['Angry', 'Disgusted', 'Fearful', 'Neutral']"
340,Boogie Nights (1997),"['Neutral', 'Angry', 'Disgusted']"
341,Critical Care (1997),"['Happy', 'Neutral', 'Sad']"
342,"Man Who Knew Too Little, The (1997)","['Happy', 'Neutral', 'Sad']"
343,Alien: Resurrection (1997),"['Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
344,"Apostle, The (1997)","['Happy', 'Neutral', 'Sad', 'Surprised']"
345,Deconstructing Harry (1997),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
346,Jackie Brown (1997),"['Angry', 'Fearful', 'Neutral', 'Surprised']"
347,Wag the Dog (1997),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
348,Desperate Measures (1998),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
349,Hard Rain (1998),"['Surprised', 'Neutral']"
350,Fallen (1998),"['Disgusted', 'Fearful', 'Neutral', 'Surprised']"
351,"Prophecy II, The (1998)","['Fearful', 'Disgusted', 'Sad', 'Surprised']"
352,Spice World (1997),"['Angry', 'Happy', 'Neutral', 'Sad']"
353,Deep Rising (1998),"['Fearful', 'Disgusted', 'Neutral', 'Surprised']"
354,"Wedding Singer, The (1998)","['Happy', 'Neutral', 'Sad']"
355,Sphere (1998),"['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
356,"Client, The (1994)","['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
357,One Flew Over the Cuckoo's Nest (1975),"['Happy', 'Neutral', 'Sad', 'Surprised']"
358,Spawn (1997),"['Angry', 'Disgusted', 'Fearful', 'Surprised']"
359,"Assignment, The (1997)","['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
360,Wonderland (1997),"['Happy', 'Neutral', 'Sad', 'Surprised']"
361,Incognito (1997),"['Angry', 'Disgusted', 'Fearful', 'Surprised']"
362,Blues Brothers 2000 (1998),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
363,Sudden Death (1995),"['Angry', 'Neutral']"
364,Ace Ventura: When Nature Calls (1995),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted']"
365,Powder (1995),"['Fearful', 'Neutral', 'Surprised']"
366,Dangerous Minds (1995),"['Angry', 'Disgusted', 'Happy', 'Neutral']"
367,Clueless (1995),"['Happy', 'Neutral', 'Sad']"
368,Bio-Dome (1996),['Disgusted']
369,Black Sheep (1996),"['Fearful', 'Disgusted', 'Neutral', 'Surprised']"
370,Mary Reilly (1996),"['Fearful', 'Disgusted', 'Surprised', 'Neutral']"
371,"Bridges of Madison County, The (1995)","['Happy', 'Neutral', 'Sad']"
372,Jeffrey (1995),"['Happy', 'Sad', 'Neutral']"
373,Judge Dredd (1995),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
374,Mighty Morphin Power Rangers: The Movie (1995),"['Happy', 'Neutral', 'Sad', 'Surprised']"
375,Showgirls (1995),"['Happy', 'Neutral', 'Sad', 'Surprised']"
376,Houseguest (1994),"['Happy', 'Neutral', 'Sad']"
377,Heavyweights (1994),"['Happy', 'Neutral', 'Sad']"
378,Miracle on 34th Street (1994),"['Happy', 'Neutral', 'Sad', 'Angry']"
379,Tales From the Crypt Presents: Demon Knight (1995),"['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
380,Star Trek: Generations (1994),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
381,Muriel's Wedding (1994),"['Happy', 'Neutral']"
382,"Adventures of Priscilla, Queen of the Desert, The (1994)","['Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad']"
383,"Flintstones, The (1994)","['Angry', 'Happy', 'Neutral', 'Sad', 'Surprised']"
384,Naked Gun 33 1/3: The Final Insult (1994),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
385,True Lies (1994),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
386,Addams Family Values (1993),"['Fearful', 'Happy', 'Angry']"
387,"Age of Innocence, The (1993)","['Happy', 'Neutral', 'Sad']"
388,Beverly Hills Cop III (1994),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Disgusted', 'Angry', 'Fearful']"
389,Black Beauty (1994),"['Happy', 'Neutral', 'Sad']"
390,Fear of a Black Hat (1993),"['Happy', 'Neutral', 'Sad']"
391,Last Action Hero (1993),"['Angry', 'Disgusted', 'Happy', 'Neutral', 'Sad']"
392,"Man Without a Face, The (1993)","['Happy', 'Neutral', 'Sad', 'Surprised']"
393,Mrs. Doubtfire (1993),"['Happy', 'Neutral', 'Sad', 'Surprised']"
394,Radioland Murders (1994),"['Happy', 'Neutral', 'Sad', 'Angry']"
395,Robin Hood: Men in Tights (1993),"['Angry', 'Disgusted', 'Happy', 'Neutral', 'Sad', 'Surprised']"
396,Serial Mom (1994),"['Happy', 'Neutral', 'Sad', 'Surprised']"
397,Striking Distance (1993),"['Angry', 'Disgusted', 'Happy', 'Neutral']"
398,Super Mario Bros. (1993),"['Angry', 'Disgusted', 'Fearful', 'Neutral']"
399,"Three Musketeers, The (1993)","['Happy', 'Neutral', 'Sad']"
400,"Little Rascals, The (1994)","['Happy', 'Neutral', 'Sad', 'Surprised']"
401,"Brady Bunch Movie, The (1995)","['Happy', 'Neutral', 'Sad']"
402,Ghost (1990),"['Happy', 'Neutral', 'Sad', 'Angry']"
403,Batman (1989),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Fearful']"
404,Pinocchio (1940),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Fearful']"
405,Mission: Impossible (1996),"['Happy', 'Neutral', 'Sad', 'Angry', 'Fearful']"
406,Thinner (1996),"['Disgusted', 'Fearful', 'Neutral', 'Surprised']"
407,Spy Hard (1996),"['Happy', 'Neutral', 'Sad']"
408,"Close Shave, A (1995)","['Happy', 'Neutral', 'Sad', 'Surprised']"
409,Jack (1996),"['Happy', 'Neutral', 'Sad', 'Angry']"
410,Kingpin (1996),"['Happy', 'Neutral', 'Sad']"
411,"Nutty Professor, The (1996)","['Happy', 'Neutral', 'Sad', 'Angry']"
412,"Very Brady Sequel, A (1996)","['Happy', 'Neutral', 'Sad']"
413,Tales from the Crypt Presents: Bordello of Blood (1996),"['Disgusted', 'Fearful', 'Neutral', 'Surprised']"
414,My Favorite Year (1982),"['Happy', 'Neutral', 'Sad']"
415,"Apple Dumpling Gang, The (1975)","['Happy', 'Neutral', 'Sad']"
416,Old Yeller (1957),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
417,"Parent Trap, The (1961)","['Happy', 'Neutral', 'Sad', 'Angry']"
418,Cinderella (1950),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Fearful']"
419,Mary Poppins (1964),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Disgusted', 'Angry']"
420,Alice in Wonderland (1951),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted']"
421,William Shakespeare's Romeo and Juliet (1996),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
422,Aladdin and the King of Thieves (1996),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted']"
423,E.T. the Extra-Terrestrial (1982),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted', 'Fearful']"
424,Children of the Corn: The Gathering (1996),"['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
425,Bob Roberts (1992),"['Happy', 'Neutral', 'Sad']"
426,"Transformers: The Movie, The (1986)","['Happy', 'Neutral', 'Sad', 'Surprised', 'Disgusted']"
427,To Kill a Mockingbird (1962),"['Happy', 'Neutral', 'Sad', 'Surprised']"
428,Harold and Maude (1971),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Disgusted']"
429,"Day the Earth Stood Still, The (1951)","['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
430,Duck Soup (1933),"['Happy', 'Neutral', 'Sad', 'Surprised']"
431,Highlander (1986),"['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
432,Fantasia (1940),"['Happy', 'Neutral', 'Sad', 'Surprised']"
433,Heathers (1989),"['Happy', 'Neutral', 'Sad', 'Disgusted']"
434,Forbidden Planet (1956),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
435,Butch Cassidy and the Sundance Kid (1969),"['Angry', 'Disgusted', 'Sad']"
436,"American Werewolf in London, An (1981)","['Angry', 'Disgusted', 'Fearful', 'Surprised']"
437,Amityville 1992: It's About Time (1992),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
438,Amityville 3-D (1983),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
439,Amityville: A New Generation (1993),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
440,Amityville II: The Possession (1982),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
441,"Amityville Horror, The (1979)","['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
442,"Amityville Curse, The (1990)","['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
443,"Birds, The (1963)","['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral', 'Sad']"
444,"Blob, The (1958)","['Angry', 'Disgusted', 'Fearful', 'Surprised']"
445,"Body Snatcher, The (1945)","['Disgusted', 'Fearful', 'Angry', 'Surprised', 'Neutral']"
446,Burnt Offerings (1976),"['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
447,Carrie (1976),"['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
448,"Omen, The (1976)","['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
449,Star Trek: The Motion Picture (1979),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
450,Star Trek V: The Final Frontier (1989),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
451,Grease (1978),"['Happy', 'Neutral', 'Sad']"
452,Jaws 2 (1978),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Disgusted', 'Fearful', 'Angry']"
453,Jaws 3-D (1983),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted', 'Fearful']"
454,Bastard Out of Carolina (1996),"['Neutral', 'Sad', 'Happy', 'Angry']"
455,Jackie Chan's First Strike (1996),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
456,Beverly Hills Ninja (1997),"['Happy', 'Neutral', 'Sad', 'Angry', 'Disgusted']"
457,Free Willy 3: The Rescue (1997),"['Happy', 'Neutral', 'Sad', 'Angry']"
458,Nixon (1995),"['Sad', 'Neutral', 'Angry', 'Disgusted']"
459,"Cry, the Beloved Country (1995)","['Neutral', 'Disgusted', 'Angry']"
460,"Crossing Guard, The (1995)","['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
461,Smoke (1995),"['Happy', 'Neutral', 'Sad', 'Angry']"
462,Like Water For Chocolate (Como agua para chocolate) (1992),"['Happy', 'Neutral', 'Sad']"
463,"Secret of Roan Inish, The (1994)","['Happy', 'Neutral', 'Sad']"
464,Vanya on 42nd Street (1994),"['Happy', 'Neutral', 'Sad', 'Surprised']"
465,"Jungle Book, The (1994)","['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
466,Red Rock West (1992),"['Angry', 'Disgusted', 'Neutral']"
467,"Bronx Tale, A (1993)","['Happy', 'Neutral', 'Sad', 'Fearful', 'Disgusted']"
468,Rudy (1993),"['Happy', 'Neutral', 'Sad', 'Angry']"
469,Short Cuts (1993),"['Happy', 'Neutral', 'Sad']"
470,Tombstone (1993),"['Angry', 'Disgusted', 'Neutral', 'Sad']"
471,Courage Under Fire (1996),"['Angry', 'Fearful', 'Happy', 'Neutral', 'Sad']"
472,Dragonheart (1996),"['Happy', 'Neutral', 'Sad', 'Angry', 'Surprised']"
473,James and the Giant Peach (1996),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Fearful', 'Angry']"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"['Angry', 'Disgusted', 'Fearful', 'Sad', 'Neutral']"
475,Trainspotting (1996),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Disgusted', 'Angry']"
476,"First Wives Club, The (1996)","['Disgusted', 'Happy', 'Neutral', 'Sad']"
477,Matilda (1996),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Fearful']"
478,"Philadelphia Story, The (1940)","['Happy', 'Neutral', 'Sad']"
479,Vertigo (1958),"['Fearful', 'Disgusted', 'Happy', 'Neutral', 'Sad', 'Surprised']"
480,North by Northwest (1959),"['Fearful', 'Angry', 'Happy', 'Neutral', 'Sad', 'Surprised']"
481,"Apartment, The (1960)","['Happy', 'Neutral', 'Sad']"
482,Some Like It Hot (1959),"['Happy', 'Neutral', 'Sad', 'Surprised']"
483,Casablanca (1942),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted', 'Fearful']"
484,"Maltese Falcon, The (1941)","['Happy', 'Neutral', 'Sad', 'Surprised']"
485,My Fair Lady (1964),"['Happy', 'Neutral', 'Sad']"
486,Sabrina (1954),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Fearful']"
487,Roman Holiday (1953),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
488,Sunset Blvd. (1950),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Fearful']"
489,Notorious (1946),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
490,To Catch a Thief (1955),"['Disgusted', 'Fearful', 'Neutral', 'Surprised']"
491,"Adventures of Robin Hood, The (1938)","['Happy', 'Neutral', 'Sad', 'Surprised', 'Fearful']"
492,East of Eden (1955),"['Angry', 'Disgusted', 'Fearful', 'Surprised']"
493,"Thin Man, The (1934)","['Happy', 'Neutral', 'Sad', 'Surprised', 'Fearful']"
494,His Girl Friday (1940),"['Happy', 'Neutral', 'Sad']"
495,Around the World in 80 Days (1956),"['Happy', 'Neutral', 'Sad', 'Surprised']"
496,It's a Wonderful Life (1946),"['Happy', 'Neutral', 'Sad', 'Surprised']"
497,Bringing Up Baby (1938),"['Happy', 'Neutral', 'Sad', 'Surprised']"
498,"African Queen, The (1951)","['Angry', 'Disgusted', 'Fearful', 'Sad', 'Surprised']"
499,Cat on a Hot Tin Roof (1958),"['Happy', 'Neutral', 'Sad', 'Surprised']"
500,Fly Away Home (1996),"['Happy', 'Neutral', 'Sad', 'Surprised']"
501,Dumbo (1941),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted', 'Fearful']"
502,Bananas (1971),"['Happy', 'Neutral', 'Sad', 'Surprised']"
503,"Candidate, The (1972)","['Happy', 'Neutral', 'Sad', 'Angry']"
504,Bonnie and Clyde (1967),"['Angry', 'Disgusted', 'Fearful', 'Sad', 'Surprised', 'Neutral']"
505,Dial M for Murder (1954),"['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
506,Rebel Without a Cause (1955),"['Happy', 'Neutral', 'Sad']"
507,"Streetcar Named Desire, A (1951)","['Happy', 'Neutral', 'Sad']"
508,"People vs. Larry Flynt, The (1996)","['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
509,My Left Foot (1989),"['Happy', 'Neutral', 'Sad']"
510,"Magnificent Seven, The (1954)","['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
511,Lawrence of Arabia (1962),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted', 'Fearful']"
512,Wings of Desire (1987),"['Happy', 'Neutral', 'Sad', 'Surprised']"
513,"Third Man, The (1949)","['Fearful', 'Neutral', 'Sad', 'Surprised']"
514,Annie Hall (1977),"['Happy', 'Neutral', 'Sad']"
515,"Boot, Das (1981)","['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
516,Local Hero (1983),"['Happy', 'Neutral', 'Sad']"
517,Manhattan (1979),"['Happy', 'Neutral', 'Sad']"
518,Miller's Crossing (1990),"['Neutral', 'Sad', 'Fearful', 'Surprised']"
519,"Treasure of the Sierra Madre, The (1948)","['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
520,"Great Escape, The (1963)","['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
521,"Deer Hunter, The (1978)","['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Sad', 'Surprised']"
522,Down by Law (1986),"['Happy', 'Neutral', 'Sad']"
523,Cool Hand Luke (1967),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
524,"Great Dictator, The (1940)","['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted', 'Fearful']"
525,"Big Sleep, The (1946)","['Disgusted', 'Fearful', 'Neutral', 'Sad', 'Surprised']"
526,Ben-Hur (1959),"['Happy', 'Neutral', 'Sad', 'Surprised']"
527,Gandhi (1982),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted']"
528,"Killing Fields, The (1984)","['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Sad']"
529,My Life as a Dog (Mitt liv som hund) (1985),"['Happy', 'Neutral', 'Sad']"
530,"Man Who Would Be King, The (1975)","['Happy', 'Neutral', 'Sad', 'Surprised']"
531,Shine (1996),"['Happy', 'Neutral', 'Sad']"
532,Kama Sutra: A Tale of Love (1996),"['Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
533,"Daytrippers, The (1996)","['Happy', 'Neutral', 'Sad']"
534,Traveller (1997),"['Happy', 'Neutral', 'Sad']"
535,Addicted to Love (1997),"['Happy', 'Neutral', 'Sad']"
536,Ponette (1996),"['Fearful', 'Happy', 'Neutral', 'Sad']"
537,My Own Private Idaho (1991),"['Happy', 'Neutral', 'Sad']"
538,Anastasia (1997),"['Happy', 'Neutral', 'Sad', 'Surprised']"
539,Mouse Hunt (1997),"['Happy', 'Neutral', 'Sad']"
540,Money Train (1995),"['Happy', 'Neutral', 'Sad']"
541,Mortal Kombat (1995),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
542,Pocahontas (1995),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Fearful', 'Angry']"
543,"Misérables, Les (1995)","['Happy', 'Neutral', 'Sad', 'Angry']"
544,Things to Do in Denver when You're Dead (1995),"['Angry', 'Disgusted', 'Happy', 'Neutral', 'Sad', 'Surprised']"
545,Vampire in Brooklyn (1995),"['Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad']"
546,Broken Arrow (1996),"['Angry', 'Surprised', 'Neutral', 'Happy']"
547,"Young Poisoner's Handbook, The (1995)","['Happy', 'Neutral', 'Sad', 'Surprised']"
548,"NeverEnding Story III, The (1994)","['Happy', 'Neutral', 'Sad', 'Surprised', 'Disgusted', 'Fearful']"
549,Rob Roy (1995),"['Happy', 'Neutral', 'Sad']"
550,Die Hard: With a Vengeance (1995),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
551,Lord of Illusions (1995),"['Disgusted', 'Fearful', 'Angry']"
552,Species (1995),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
553,"Walk in the Clouds, A (1995)","['Happy', 'Neutral', 'Sad']"
554,Waterworld (1995),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Disgusted', 'Fearful']"
555,White Man's Burden (1995),"['Angry', 'Disgusted', 'Surprised', 'Neutral']"
556,Wild Bill (1995),"['Happy', 'Neutral', 'Sad', 'Angry', 'Disgusted']"
557,Farinelli: il castrato (1994),"['Neutral', 'Happy', 'Sad']"
558,Heavenly Creatures (1994),"['Disgusted', 'Fearful', 'Sad', 'Surprised', 'Neutral']"
559,Interview with the Vampire (1994),"['Fearful', 'Disgusted', 'Happy', 'Neutral', 'Sad']"
560,"Kid in King Arthur's Court, A (1995)","['Happy', 'Neutral', 'Surprised', 'Sad']"
561,Mary Shelley's Frankenstein (1994),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
562,"Quick and the Dead, The (1995)","['Happy', 'Neutral', 'Sad', 'Angry', 'Disgusted']"
563,Stephen King's The Langoliers (1995),"['Disgusted', 'Fearful', 'Surprised']"
564,Tales from the Hood (1995),"['Disgusted', 'Fearful', 'Angry', 'Neutral', 'Surprised']"
565,Village of the Damned (1995),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
566,Clear and Present Danger (1994),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
567,Wes Craven's New Nightmare (1994),"['Angry', 'Disgusted', 'Fearful', 'Surprised']"
568,Speed (1994),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
569,Wolf (1994),"['Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad']"
570,Wyatt Earp (1994),"['Angry', 'Disgusted', 'Fearful', 'Surprised']"
571,Another Stakeout (1993),"['Happy', 'Neutral', 'Sad']"
572,Blown Away (1994),"['Angry', 'Disgusted', 'Fearful', 'Sad']"
573,Body Snatchers (1993),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
574,Boxing Helena (1993),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
575,City Slickers II: The Legend of Curly's Gold (1994),"['Happy', 'Neutral', 'Sad', 'Disgusted']"
576,Cliffhanger (1993),"['Angry', 'Happy', 'Neutral', 'Sad', 'Surprised']"
577,Coneheads (1993),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad']"
578,Demolition Man (1993),"['Surprised', 'Happy', 'Neutral', 'Sad', 'Angry']"
579,Fatal Instinct (1993),"['Angry', 'Happy', 'Neutral', 'Sad', 'Surprised']"
580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)","['Happy', 'Neutral', 'Sad']"
581,Kalifornia (1993),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
582,"Piano, The (1993)","['Happy', 'Neutral', 'Sad']"
583,Romeo Is Bleeding (1993),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
584,"Secret Garden, The (1993)","['Happy', 'Neutral', 'Sad']"
585,Son in Law (1993),"['Happy', 'Neutral', 'Sad', 'Disgusted']"
586,Terminal Velocity (1994),"['Happy', 'Neutral', 'Sad', 'Angry']"
587,"Hour of the Pig, The (1993)","['Angry', 'Happy', 'Neutral', 'Sad', 'Surprised']"
588,Beauty and the Beast (1991),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Fearful']"
589,"Wild Bunch, The (1969)","['Angry', 'Disgusted', 'Fearful', 'Neutral']"
590,Hellraiser: Bloodline (1996),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
591,Primal Fear (1996),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
592,True Crime (1995),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
593,Stalingrad (1993),"['Angry', 'Disgusted', 'Fearful', 'Sad', 'Surprised']"
594,Heavy (1995),"['Happy', 'Neutral', 'Sad']"
595,"Fan, The (1996)","['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
596,"Hunchback of Notre Dame, The (1996)","['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Fearful']"
597,Eraser (1996),"['Angry', 'Disgusted', 'Fearful', 'Surprised']"
598,"Big Squeeze, The (1996)","['Happy', 'Neutral', 'Sad']"
599,Police Story 4: Project S (Chao ji ji hua) (1993),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
600,Daniel Defoe's Robinson Crusoe (1996),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
601,For Whom the Bell Tolls (1943),"['Happy', 'Neutral', 'Sad', 'Disgusted', 'Fearful']"
602,"American in Paris, An (1951)","['Happy', 'Neutral', 'Sad']"
603,Rear Window (1954),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
604,It Happened One Night (1934),"['Happy', 'Neutral', 'Sad']"
605,Meet Me in St. Louis (1944),"['Happy', 'Neutral', 'Sad']"
606,All About Eve (1950),"['Happy', 'Neutral', 'Sad']"
607,Rebecca (1940),"['Happy', 'Neutral', 'Sad']"
608,Spellbound (1945),"['Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
609,Father of the Bride (1950),"['Happy', 'Neutral', 'Sad']"
610,Gigi (1958),"['Happy', 'Neutral', 'Sad']"
611,Laura (1944),"['Angry', 'Disgusted', 'Happy', 'Neutral', 'Sad', 'Surprised']"
612,Lost Horizon (1937),"['Angry', 'Happy', 'Neutral', 'Sad', 'Surprised']"
613,My Man Godfrey (1936),"['Happy', 'Neutral', 'Sad']"
614,Giant (1956),"['Angry', 'Disgusted', 'Neutral', 'Surprised']"
615,"39 Steps, The (1935)","['Angry', 'Neutral', 'Surprised', 'Disgusted', 'Fearful']"
616,Night of the Living Dead (1968),"['Angry', 'Neutral', 'Surprised', 'Disgusted', 'Fearful']"
617,"Blue Angel, The (Blaue Engel, Der) (1930)","['Happy', 'Neutral', 'Sad']"
618,Picnic (1955),"['Happy', 'Neutral', 'Sad']"
619,Extreme Measures (1996),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
620,"Chamber, The (1996)","['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
621,"Davy Crockett, King of the Wild Frontier (1955)","['Happy', 'Neutral', 'Sad', 'Disgusted', 'Fearful']"
622,Swiss Family Robinson (1960),"['Happy', 'Neutral', 'Sad', 'Surprised']"
623,Angels in the Outfield (1994),"['Happy', 'Neutral', 'Sad']"
624,"Three Caballeros, The (1945)","['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
625,"Sword in the Stone, The (1963)","['Happy', 'Neutral', 'Sad', 'Surprised']"
626,So Dear to My Heart (1949),"['Happy', 'Neutral', 'Sad']"
627,Robin Hood: Prince of Thieves (1991),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
628,Sleepers (1996),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
629,Victor/Victoria (1982),"['Happy', 'Neutral', 'Sad']"
630,"Great Race, The (1965)","['Happy', 'Neutral', 'Sad']"
631,"Crying Game, The (1992)","['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
632,Sophie's Choice (1982),"['Happy', 'Neutral', 'Sad']"
633,"Christmas Carol, A (1938)","['Fearful', 'Happy', 'Neutral', 'Sad']"
634,Microcosmos: Le peuple de l'herbe (1996),"['Disgusted', 'Happy', 'Neutral', 'Sad', 'Surprised']"
